,Date,Home,Away,Bet
401,2013-08-17,Colon Santa FE,Quilmes,2.18
402,2013-08-17,Gimnasia L.P.,Rosario Central,0.0
403,2013-08-18,San Lorenzo,Argentinos Jrs,0.0
404,2013-08-18,Newells Old Boys,Belgrano,0.0
405,2013-08-18,Tigre,Racing Club,0.0
406,2013-08-18,Boca Juniors,Atl. Rafaela,1.67
407,2013-08-19,Godoy Cruz,River Plate,2.98
408,2013-08-19,All Boys,Velez Sarsfield,2.9
409,2013-08-20,Lanus,Estudiantes L.P.,0.0
410,2013-08-23,Belgrano,Gimnasia L.P.,0.0
411,2013-08-23,Atl. Rafaela,Newells Old Boys,0.0
412,2013-08-24,Racing Club,Arsenal Sarandi,0.0
413,2013-08-24,Velez Sarsfield,Lanus,2.91
414,2013-08-24,Argentinos Jrs,Tigre,0.0
415,2013-08-24,Rosario Central,Godoy Cruz,2.13
416,2013-08-25,Olimpo Bahia Blanca,All Boys,2.91
417,2013-08-25,River Plate,Colon Santa FE,0.0
418,2013-08-26,Estudiantes L.P.,Boca Juniors,0.0
419,2013-08-27,Quilmes,San Lorenzo,0.0
420,2013-08-27,Newells Old Boys,Gimnasia L.P.,1.84
421,2013-08-31,Newells Old Boys,Estudiantes L.P.,0.0
422,2013-08-31,Tigre,Quilmes,0.0
423,2013-01-09,All Boys,Racing Club,0.0
424,2013-01-09,Gimnasia L.P.,Godoy Cruz,0.0
425,2013-01-09,Colon Santa FE,Rosario Central,0.0
426,2013-01-09,Boca Juniors,Velez Sarsfield,0.0
427,2013-02-09,San Lorenzo,River Plate,0.0
428,2013-02-09,Arsenal Sarandi,Argentinos Jrs,0.0
429,2013-02-09,Belgrano,Atl. Rafaela,1.95
430,2013-03-09,Lanus,Olimpo Bahia Blanca,1.54
431,2013-07-09,Velez Sarsfield,Newells Old Boys,0.0
432,2013-07-09,Estudiantes L.P.,Belgrano,0.0
433,2013-07-09,Godoy Cruz,Colon Santa FE,1.92
434,2013-07-09,Argentinos Jrs,All Boys,0.0
435,2013-07-09,Atl. Rafaela,Gimnasia L.P.,0.0
436,2013-08-09,Racing Club,Lanus,3.01
437,2013-08-09,Quilmes,Arsenal Sarandi,0.0
438,2013-08-09,Rosario Central,San Lorenzo,0.0
439,2013-08-09,River Plate,Tigre,1.81
440,2013-09-09,Olimpo Bahia Blanca,Boca Juniors,0.0
441,2013-09-13,Lanus,Argentinos Jrs,1.79
442,2013-09-14,Belgrano,Velez Sarsfield,0.0
443,2013-09-14,Newells Old Boys,Olimpo Bahia Blanca,1.56
444,2013-09-14,All Boys,Quilmes,2.2
445,2013-09-15,San Lorenzo,Godoy Cruz,0.0
446,2013-09-15,Atl. Rafaela,Estudiantes L.P.,0.0
447,2013-09-15,Tigre,Rosario Central,0.0
448,2013-09-15,Boca Juniors,Racing Club,2.02
449,2013-09-16,Arsenal Sarandi,River Plate,2.93
450,2013-09-17,Gimnasia L.P.,Colon Santa FE,1.96
451,2013-09-20,Godoy Cruz,Tigre,1.84
452,2013-09-21,Racing Club,Newells Old Boys,0.0
453,2013-09-21,Olimpo Bahia Blanca,Belgrano,2.95
454,2013-09-22,Rosario Central,Arsenal Sarandi,0.0
455,2013-09-22,Quilmes,Lanus,0.0
456,2013-09-22,Colon Santa FE,San Lorenzo,0.0
457,2013-09-22,Estudiantes L.P.,Gimnasia L.P.,3.0
458,2013-09-22,Argentinos Jrs,Boca Juniors,2.97
459,2013-09-23,River Plate,All Boys,1.88
460,2013-09-24,Velez Sarsfield,Atl. Rafaela,1.63
461,2013-09-27,Arsenal Sarandi,Godoy Cruz,2.17
462,2013-09-27,All Boys,Rosario Central,2.96
463,2013-09-28,Estudiantes L.P.,Velez Sarsfield,2.9
464,2013-09-28,San Lorenzo,Gimnasia L.P.,1.88
465,2013-09-28,Atl. Rafaela,Olimpo Bahia Blanca,2.04
466,2013-09-29,Newells Old Boys,Argentinos Jrs,1.6
467,2013-09-29,Tigre,Colon Santa FE,2.16
468,2013-09-29,Belgrano,Racing Club,2.14
469,2013-09-29,Boca Juniors,Quilmes,1.6
470,2013-09-30,Lanus,River Plate,0.0
471,2013-04-10,Argentinos Jrs,Belgrano,0.0
472,2013-05-10,Olimpo Bahia Blanca,Estudiantes L.P.,2.89
473,2013-05-10,Quilmes,Newells Old Boys,2.15
474,2013-06-10,San Lorenzo,Tigre,0.0
