,Date,Home,Away
476,2013-07-10,Racing Club,Atl. Rafaela
477,2013-07-10,Colon Santa FE,Arsenal Sarandi
478,2013-07-10,Godoy Cruz,All Boys
479,2013-07-10,Gimnasia L.P.,Velez Sarsfield
480,2013-08-10,Rosario Central,Lanus
481,2013-12-10,All Boys,Colon Santa FE
482,2013-12-10,Atl. Rafaela,Argentinos Jrs
483,2013-12-10,Belgrano,Quilmes
484,2013-10-13,Arsenal Sarandi,San Lorenzo
485,2013-10-13,Estudiantes L.P.,Racing Club
486,2013-10-13,Velez Sarsfield,Olimpo Bahia Blanca
487,2013-10-13,Boca Juniors,Rosario Central
488,2013-10-14,Newells Old Boys,River Plate
489,2013-10-14,Tigre,Gimnasia L.P.
490,2013-10-15,Lanus,Godoy Cruz
491,2013-10-18,Quilmes,Atl. Rafaela
492,2013-10-18,Argentinos Jrs,Estudiantes L.P.
493,2013-10-19,Racing Club,Velez Sarsfield
494,2013-10-19,Colon Santa FE,Lanus
495,2013-10-20,San Lorenzo,All Boys
496,2013-10-20,Gimnasia L.P.,Olimpo Bahia Blanca
497,2013-10-20,Rosario Central,Newells Old Boys
498,2013-10-20,Tigre,Arsenal Sarandi
499,2013-10-20,River Plate,Belgrano
500,2013-10-21,Godoy Cruz,Boca Juniors
501,2013-10-23,Velez Sarsfield,Argentinos Jrs
502,2013-10-23,All Boys,Tigre
503,2013-10-23,Atl. Rafaela,River Plate
504,2013-10-24,Lanus,San Lorenzo
505,2013-10-25,Belgrano,Rosario Central
506,2013-10-25,Newells Old Boys,Godoy Cruz
507,2013-10-25,Boca Juniors,Colon Santa FE
508,2013-10-26,Arsenal Sarandi,Gimnasia L.P.
509,2013-10-28,Estudiantes L.P.,Quilmes
510,2013-10-28,Olimpo Bahia Blanca,Racing Club
511,2013-01-11,Arsenal Sarandi,All Boys
512,2013-01-11,Colon Santa FE,Newells Old Boys
513,2013-02-11,Argentinos Jrs,Olimpo Bahia Blanca
514,2013-02-11,Rosario Central,Atl. Rafaela
515,2013-02-11,Godoy Cruz,Belgrano
516,2013-02-11,Gimnasia L.P.,Racing Club
517,2013-03-11,Quilmes,Velez Sarsfield
518,2013-03-11,Tigre,Lanus
519,2013-03-11,San Lorenzo,Boca Juniors
520,2013-04-11,River Plate,Estudiantes L.P.
521,2013-08-11,Atl. Rafaela,Godoy Cruz
522,2013-09-11,Olimpo Bahia Blanca,Quilmes
523,2013-09-11,All Boys,Gimnasia L.P.
524,2013-09-11,Estudiantes L.P.,Rosario Central
525,2013-09-11,Newells Old Boys,San Lorenzo
526,2013-10-11,Belgrano,Colon Santa FE
527,2013-10-11,Boca Juniors,Tigre
528,2013-10-11,Racing Club,Argentinos Jrs
529,2013-11-11,Velez Sarsfield,River Plate
530,2013-11-11,Lanus,Arsenal Sarandi
531,2013-11-15,Gimnasia L.P.,Argentinos Jrs
532,2013-11-16,All Boys,Lanus
533,2013-11-16,Godoy Cruz,Estudiantes L.P.
534,2013-11-16,Quilmes,Racing Club
535,2013-11-16,San Lorenzo,Belgrano
536,2013-11-17,Rosario Central,Velez Sarsfield
537,2013-11-17,River Plate,Olimpo Bahia Blanca
538,2013-11-18,Arsenal Sarandi,Boca Juniors
539,2013-11-18,Tigre,Newells Old Boys
540,2013-11-18,Colon Santa FE,Atl. Rafaela
541,2013-11-22,Velez Sarsfield,Godoy Cruz
542,2013-11-23,Argentinos Jrs,Quilmes
543,2013-11-23,Olimpo Bahia Blanca,Rosario Central
544,2013-11-23,Atl. Rafaela,San Lorenzo
545,2013-11-24,Lanus,Gimnasia L.P.
546,2013-11-24,Boca Juniors,All Boys
547,2013-11-24,Newells Old Boys,Arsenal Sarandi
548,2013-11-25,Racing Club,River Plate
549,2013-11-25,Estudiantes L.P.,Colon Santa FE
550,2013-11-26,Belgrano,Tigre
551,2013-11-29,Godoy Cruz,Olimpo Bahia Blanca
552,2013-11-29,Rosario Central,Racing Club
553,2013-11-30,Colon Santa FE,Velez Sarsfield
554,2013-11-30,Tigre,Atl. Rafaela
555,2013-11-30,Arsenal Sarandi,Belgrano
556,2013-11-30,All Boys,Newells Old Boys
557,2013-01-12,Gimnasia L.P.,Quilmes
